CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida,HumedadRelativa
27015330,68,01/21/2020 09:00:00 AM,22.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 07:00:00 AM,16.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015330,68,01/21/2020 07:00:00 PM,18.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 05:00:00 PM,16.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 06:00:00 PM,16.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 05:00:00 AM,15.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 06:00:00 AM,15,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 01:00:00 AM,17.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 12:00:00 AM,17.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015330,68,01/21/2020 08:00:00 AM,21.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 04:00:00 AM,15.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 11:00:00 AM,24.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015330,68,01/21/2020 09:00:00 PM,19,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015330,68,01/21/2020 06:00:00 PM,18.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 03:00:00 PM,23,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
27015330,68,01/21/2020 11:00:00 AM,27.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015330,68,01/21/2020 06:00:00 AM,18.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.5
27015290,68,01/21/2020 04:00:00 PM,17.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.5
