MpCodigo,MpNombre,MpArea,MpCategor,SHAPE_Leng,SHAPE_Area,MpAltitud,Depto,Poblacion,Longitud,Latitud
"91540",Puerto Nariño,1455.58351811000,"1",217528.49797000000,1455583518.10999989510,"100",Amazonas,"9416",-70.472979700,-3.625749800
"91001",Leticia,6009.64507959000,"1",427096.06855099997,6009645079.59000015259,"82",Amazonas,"46753",-70.042483800,-3.518948400
"91798",Tarapacá,9038.96049697000,"3",570656.86769600003,9038960496.96999931335,"100",Amazonas,"3685",-70.003243400,-2.449756320
"91263",El Encanto,10504.35690140000,"3",890227.13955199998,10504356901.39999961853,"158",Amazonas,"2167",-72.724194500,-1.989620440
"91536",Puerto Arica,13532.39890120000,"3",962213.76797499997,13532398901.20000076294,"150",Amazonas,"1000",-71.152247300,-1.901901740
"91530",Puerto Alegría,8293.20591323000,"3",529190.48545100004,8293205913.22999954224,"200",Amazonas,"739",-73.751868500,-0.949684310
"91407",La Pedrera,13631.81316710000,"3",818490.06105200003,13631813167.10000038147,"82",Amazonas,"3646",-70.037605400,-1.427000270
"91405",La Chorrera,12641.49795000000,"3",1004496.81720000005,12641497950.00000000000,"184",Amazonas,"2894",-72.764022300,-1.238082220
"91669",Santander,14692.13231230000,"3",1178890.59635000001,14692132312.30000114441,"200",Amazonas,"1680",-71.938938100,-1.101027680
"97666",Taraira,6494.49659690000,"1",751739.89737699996,6494496596.89999961853,"100",Vaupés,"2122",-69.907342300,-0.719722000
"91460",Mirití-Paraná,16813.38503520000,"3",714924.67587399995,16813385035.20000076294,"200",Amazonas,"1806",-71.185504500,-0.687037550
"91430",La Victoria,1428.20287199000,"3",275474.85477899999,1428202871.99000000954,"200",Amazonas,"643",-71.104878000,-0.125016380
"86757",San Miguel,373.58588374200,"1",151361.68461600001,373585883.74199998379,"535",Putumayo,"18193",-76.857351400,0.306511001
"86865",Valle Del Guamuez,814.75488137700,"1",191629.39544699999,814754881.37699997425,"720",Putumayo,"32828",-76.883869500,0.413065381
"86568",Puerto Asís,2802.61792874000,"1",406305.01748400001,2802617928.73999977112,"253",Putumayo,"62928",-76.328292700,0.479280535
"86573",Leguízamo,10651.77078540000,"1",827805.73343000002,10651770785.39999961853,"200",Putumayo,"27418",-75.061945600,0.063752382
"52560",Potosí,388.67633162700,"1",142619.56714699999,388676331.62699997425,"2750",Nariño,"10514",-77.424807900,0.722678478
"86569",Puerto Caicedo,926.78971503900,"1",191254.36520700000,926789715.03900003433,"272",Putumayo,"15694",-76.480994000,0.725071229
"97511",Pacoa,13947.31504370000,"3",1017686.70810000005,13947315043.70000076294,"200",Vaupés,"3894",-70.936441100,0.194765959
"52215",Córdoba,304.91737430800,"1",130399.82589500000,304917374.30800002813,"2800",Nariño,"15390",-77.360329700,0.770801805
"52356",Ipiales,1543.22928171000,"1",327669.04264900001,1543229281.71000003815,"2897",Nariño,"115006",-77.368942300,0.561206087
"52224",Cuaspud,57.39483418580,"1",47097.01662000000,57394834.18580000103,"3050",Nariño,"9074",-77.735803400,0.875293227
"52573",Puerres,350.46037993900,"1",132563.17456700001,350460379.93900001049,"2800",Nariño,"8571",-77.322248700,0.826519349
"86320",Orito,1940.66195929000,"1",239051.64690399999,1940661959.28999996185,"361",Putumayo,"36594",-76.943139200,0.673756321
"52210",Contadero,43.25398589680,"1",36477.80470650000,43253985.89679999650,"2900",Nariño,"7215",-77.528087300,0.932667457
"52323",Gualmatán,29.99411539770,"1",26778.85238830000,29994115.39770000055,"2900",Nariño,"6971",-77.582618800,0.928642622
"52022",Aldana,47.69150286680,"1",50273.24862710000,47691502.86680000275,"3013",Nariño,"7291",-77.695388700,0.913436729
"52585",Pupiales,129.80373907500,"1",65807.16942999999,129803739.07500001788,"2900",Nariño,"17585",-77.633369500,0.916769830
"18785",Solita,476.83005807400,"1",138405.05545000001,476830058.07400000095,"200",Caquetá,"6387",-75.638400400,0.909265452
"52352",Iles,80.63770248610,"1",46541.78549750000,80637702.48610000312,"2950",Nariño,"7622",-77.518645500,0.980546075
"52317",Guachucal,155.85048913800,"1",79964.45483370000,155850489.13800001144,"3087",Nariño,"19181",-77.737589400,0.975037904
"52287",Funes,395.11901158700,"1",140581.95623099999,395119011.58700001240,"2350",Nariño,"7168",-77.328429800,0.914216534
"86571",Puerto Guzmán,4576.40236659000,"1",525681.41404499998,4576402366.59000015259,"306",Putumayo,"34066",-75.880234300,0.746434643
"52506",Ospina,64.91170941300,"1",37495.83604190000,64911709.41299999505,"2830",Nariño,"7116",-77.552349400,1.029815848
"86885",Villagarzón,1397.69206317000,"1",214396.87776700000,1397692063.17000007629,"426",Putumayo,"23112",-76.744954500,0.911149460
"52227",Cumbal,917.61548977900,"1",157933.77960600000,917615489.77900016308,"3100",Nariño,"36007",-77.959444100,0.944046101
"52720",Sapuyes,115.68031993300,"1",73404.76301890000,115680319.93300001323,"3014",Nariño,"7306",-77.680449900,1.036189046
"97889",Yavaraté,4584.13896323000,"3",447748.50659700000,4584138963.22999954224,"100",Vaupés,"1021",-69.621592900,0.832435253
"52354",Imués,81.79211570040,"1",46253.40616980000,81792115.70039999485,"2600",Nariño,"7616",-77.501514800,1.072890002
