MpCodigo;MpNombre;MpArea;MpCategor;SHAPE_Leng;SHAPE_Area;MpAltitud;Depto;Poblacion;Longitud;Latitud
11001;Bogot†, D.C.;1618,46768;2;424881,0953;1618467680;2600;Cundinamarca;7497976;-74,1811213;4,315508382
5001;Medell°n;373,4404158;2;110120,1056;373440415,8;1475;Antioquia;2455072;-75,6112931;6,257652476
76001;Cali;564,1385862;2;128959,2435;564138586,2;991;Valle del Cauca;2235750;-76,5763253;3,399091781
8001;Barranquilla;153,7912948;2;88341,03079;153791294,8;32;Atl†ntico;1224588;-74,8278105;10,98169184
13001;Cartagena De Indias;567,1360965;2;331726,1114;567136096,5;1;Bol°var;987889;-75,4588278;10,4634766
54001;C£cuta;1131,835638;1;320277,0253;1131835638;325;Norte de Santander;730204;-72,4886298;8,112101475
25754;Soacha;187,2321758;1;100275,823;187232175,8;2555;Cundinamarca;684775;-74,2299335;4,537597406
8758;Soledad;59,12799251;1;44214,12338;59127992,51;14;Atl†ntico;620772;-74,7785727;10,90710398
68001;Bucaramanga;153,2348228;1;75068,54183;153234822,8;960;Santander;588404;-73,111649;7,155435097
50001;Villavicencio;1283,757452;1;225956,7366;1283757452;467;Meta;535328;-73,4929082;4,091672176
73001;IbaguÇ;1376,571801;1;273829,2612;1376571801;1286;Tolima;532851;-75,2525942;4,451924292
5088;Bello;147,8574111;1;64115,37916;147857411,1;1447;Antioquia;530371;-75,5897207;6,358705753
47001;Santa Marta;2344,0716;2;337616,1926;2344071600;2;Magdalena;509999;-73,8853058;11,12190344
20001;Valledupar;4181,844825;1;532774,2103;4181844825;169;Cesar;501742;-73,4631458;10,38232464
23001;Monter°a;3137,346865;1;409302,9086;3137346865;17;C¢rdoba;494945;-75,950507;8,584715451
66001;Pereira;608,2391396;1;223229,5861;608239139,6;1415;Risaralda;469876;-75,7123591;4,781296052
17001;Manizales;440,8880196;1;153265,008;440888019,6;2126;Caldas;437508;-75,5072467;5,083430501
52001;Pasto;1100,292976;1;207112,8147;1100292976;2559;Nari§o;393041;-77,2060983;1,083604827
41001;Neiva;1269,143134;1;340526,159;1269143134;442;Huila;359332;-75,272373;2,993364562
76520;Palmira;1005,052387;1;227622,9166;1005052387;1003;Valle del Cauca;350812;-76,2277366;3,558402966
19001;Popay†n;480,3735197;1;152459,1808;480373519,7;1738;Cauca;320089;-76,5919438;2,471704932
76109;Buenaventura;6295,935032;2;720161,0742;6295935032;6;Valle del Cauca;309358;-77,0858736;3,611430532
63001;Armenia;121,4016512;1;98903,63045;121401651,2;1483;Quind°o;297655;-75,7249832;4,499389081
68276;Floridablanca;99,93336423;1;54934,40627;99933364,23;930;Santander;296324;-73,0679496;7,079849859
70001;Sincelejo;279,8139076;1;121961,8918;279813907,6;213;Sucre;282094;-75,4317252;9,316763534
5360;ItagÅ°;19,50785336;1;22865,99799;19507853,36;1578;Antioquia;280273;-75,6142347;6,179369288
52835;Tumaco;3610,36618;2;680625,6816;3610366180;3;Nari§o;254908;-78,6137664;1,636176259
5266;Envigado;80,01006296;1;54252,18298;80010062,96;1566;Antioquia;232463;-75,5465564;6,15417456
66170;Dosquebradas;69,97443524;1;40413,72833;69974435,24;1479;Risaralda;218993;-75,6699165;4,842080634
76834;Tulu†;909,4386314;1;217029,8566;909438631,4;974;Valle del Cauca;214341;-76,0325133;4,028413357
